revenue,averageRating
17.01128,5.9606442
18.959925,7.530053
16.057592,7.634108
17.185513,5.613432
16.42695,8.28868
17.419067,5.344173
18.393347,5.6453424
16.958225,6.664531
16.38704,7.12704
19.347435,6.699312
16.529144,5.95338
18.285517,6.2968287
20.035482,5.7053323
18.667576,6.837416
19.677818,8.472638
17.29399,4.1218405
17.377407,8.0337925
19.372437,7.5969396
18.061975,5.9736853
16.797266,7.562413
19.57147,6.0930305
18.515675,6.199358
16.231228,6.9056635
17.494335,6.3998404
18.371191,7.647798
18.718336,6.6898594
18.48776,5.6779304
18.516733,7.4378314
19.992409,7.6725316
18.584164,7.846703
16.838306,6.05856
20.372355,7.7005773
16.678946,6.8163805
17.633272,5.819536
18.257141,2.7004223
18.517075,5.414401
18.182373,6.673252
18.525713,6.7302823
18.607521,7.1689343
18.995188,6.9208508
19.115059,6.3505177
16.428957,7.1640425
16.78718,7.0375266
19.305416,5.7715015
17.249252,5.029768
20.322376,6.7445464
19.80669,6.9965315
18.073193,7.5171676
16.82909,7.842109
17.667826,6.1066675
18.203415,6.750524
20.267632,7.084276
19.137285,7.127215
17.560831,6.6218357
18.978613,6.8300767
19.915594,6.2554355
16.554504,6.5322704
19.012457,5.868424
18.314762,6.098474
19.130701,6.26481
19.727293,7.372277
17.095093,7.2359953
18.283442,6.391597
18.672714,6.5400715
16.07143,7.1648135
18.242996,5.8851027
15.483228,7.528601
18.435738,7.0349555
19.920153,8.157252
17.321018,7.0331235
18.04586,5.4171777
18.414248,5.225651
17.986313,5.9676747
17.581879,5.0146337
17.880486,5.5907397
18.470812,6.827807
17.345062,5.9059443
18.90166,6.520633
19.33085,7.355766
18.326593,6.28092
17.851435,8.509098
19.059496,6.8844104
18.086046,6.319597
18.887701,5.735994
18.673725,7.420321
17.703527,5.378018
18.326307,8.256901
19.169079,5.692163
18.52877,6.233986
16.996899,8.252014
18.207613,6.660009
17.96946,6.871208
16.306425,5.0597634
15.894355,7.662745
18.067677,6.358751
18.13438,6.1809707
17.260595,5.7893586
19.921,6.354927
19.529736,7.085905
15.658056,6.9196496
18.369257,7.404265
18.953352,5.951228
17.289862,7.1195183
19.082333,7.2782507
